시군구코드,시군구명,기준분기,유동인구,유동_남,유동_여,유동_10,유동_20,유동_30,유동_40,유동_50,유동_60이상,상주인구,총가구수,아파트가구,비아파트가구,직장인구
11200,성동구,20222,75781816,35831947,39949868,10419052,13274094,13661574,12225802,10910001,15291297,293523,135787,0,135787,62764
11200,성동구,20223,73895919,34924950,38970976,10062994,12824776,13353318,11912565,10739196,15003067,293523,135787,0,135787,62764
11200,성동구,20224,74636031,35196510,39439522,10079489,13243654,13483681,12056820,10744284,15028103,286321,135787,0,135787,60887
11200,성동구,20231,74270973,35058350,39212625,9924434,12988552,13466059,12061988,10793954,15035989,286321,135787,0,135787,60887
11200,성동구,20232,73197585,34538016,38659572,9735464,13226313,13262683,11939970,10546443,14486711,286321,135787,0,135787,60887
11200,성동구,20233,72712899,34346497,38366402,9607013,12758154,13199894,11952423,10618830,14576588,286321,135787,0,135787,60887
11200,성동구,20234,74398168,35165031,39233135,9872429,13234024,13518826,12234380,10840870,14697632,276723,132568,0,132568,77165
11200,성동구,20241,74772054,35395297,39376762,9913697,12920450,13621013,12361874,11035936,14919092,276723,132568,0,132568,77165
11200,성동구,20242,73792488,34698230,39094259,9745549,13285381,13524534,12092292,10736586,14408138,276723,132568,0,132568,77165
11200,성동구,20243,72164704,33974857,38189843,9489158,12530819,13228511,11916689,10655521,14344003,276723,132568,0,132568,77165
11200,성동구,20244,73277029,34468611,38808414,9643335,13092410,13464615,12073259,10657934,14345483,276723,132568,0,132568,73657
11200,성동구,20251,72864405,34416141,38448267,9677545,12626336,13405324,12063127,10676575,14415489,276723,132568,0,132568,73657
11200,성동구,20252,72624909,34136412,38488501,9683180,13126555,13379883,11958498,10500163,13976631,276723,132568,0,132568,73657
11200,성동구,20253,71779645,33701168,38078482,9557401,12715714,13355505,11896127,10423949,13830955,276723,132568,0,132568,73657
11200,성동구,20254,72868640,34164323,38704317,9813713,13070776,13491188,12053500,10510688,13928781,276723,132568,0,132568,73657
11200,성동구,20261,73427813,34464577,38963231,9970633,12789706,13699668,12286897,10613474,14067435,276723,132568,0,132568,73657
