업종코드,업종명,기준분기,매출금액,매출건수,남성매출,여성매출,연령10,연령20,연령30,연령40,연령50,연령60이상,주중매출,주말매출
CS200002,외국어학원,20234,83476899783,211964,36282290934,46499265547,52565694,2074102084,18980364143,50554030508,8538756978,2581737080,76966525888,6510373895
CS200002,외국어학원,20241,85654994146,222081,36346279500,48451114840,22277890,2157695500,13869331703,53705386696,11933542054,3109160499,78348509336,7306484810
CS200002,외국어학원,20242,85795941903,213568,35891861904,49031688581,44323022,1670767166,14702404396,54291557320,11089511946,3127752728,79181808294,6614133609
CS200002,외국어학원,20243,84765875786,214944,36034578398,47939710068,89117097,2054763276,14175493526,53308822050,11495990713,2850043522,77636587316,7129288470
CS200002,외국어학원,20244,83317646166,211081,35129828586,47329402944,64787185,1725612508,14428688595,52269900567,10713461356,3256781318,75651145448,7666500718
CS200002,외국어학원,20251,81519336292,216009,33472696099,47011490599,70703486,1696644778,10407852303,51916207671,13211710637,3181067820,74120426421,7398909871
CS200002,외국어학원,20252,85754866422,222111,35827758791,49029340214,53584778,1872964011,10888127317,54432704316,13356103268,4253615308,78490292923,7264573499
CS200002,외국어학원,20253,73993309217,193211,31302732023,41689373240,49130123,1829104867,9846613110,45706701487,11691572527,3868983146,68100764287,5892544930
CS200002,외국어학원,20254,68586142529,172844,29600408099,38086480234,52819300,1743132189,9472731195,43031963335,9995132306,3391110010,62544378619,6041763910
CS200002,외국어학원,20261,69386038761,180519,30375768265,37897796937,37750408,1546948020,6762063402,42826679084,14104482764,2995641527,62089754149,7296284612
CS300024,운동/경기용품,20211,186448469783,1106615,112567525783,58347438685,763247630,10439068186,33610473515,52187252566,40422198792,33493574834,124329074563,62119395220
CS300024,운동/경기용품,20212,232749160200,1559903,135999533807,73267330192,824162713,15958195412,36933012615,62681050362,51896350622,40972905463,165092744524,67656415676
CS300024,운동/경기용품,20213,218175352314,1360719,127324186213,70369060112,1142367894,16711372825,38112007130,58787829473,45950055650,36989613348,153879862316,64295489998
CS300024,운동/경기용품,20214,261076283926,1544215,149375708262,84696582767,1165050750,24371083276,42723822776,70398132090,53401419832,42013415377,177294647852,83781636074
CS300024,운동/경기용품,20221,216605525484,1293787,126424804138,70986316107,920102962,16797127924,39840467909,53843759959,49272379788,36737512552,145852843956,70752681528
CS300024,운동/경기용품,20222,241584837291,1699748,136805450697,79401662522,1075629581,17303532040,40876029212,55937781972,54134937593,46878032289,169059175766,72525661525
CS300024,운동/경기용품,20223,216816402721,1587649,125823034141,69150413976,1448599810,19810798000,41480353140,49883637861,45061567504,37289471420,152601730481,64214672240
CS300024,운동/경기용품,20224,248497570081,1593107,147958223449,77528399111,1212073029,23948239037,46042249370,65271803441,49738892245,39274081311,160043044322,88454525759
CS300024,운동/경기용품,20231,224310910295,1602052,128462996893,72184711336,1327543280,17432985802,39983603013,52639881995,48337176149,40926038111,159288134947,65022775348
CS300024,운동/경기용품,20232,251511428539,1713146,141482447366,80849754529,1120543318,19369569735,41133934331,53261765151,61989839679,45456549695,176664679310,74846749229
CS300024,운동/경기용품,20233,208149679982,1543080,119944676059,67362847468,1389329138,20024786835,38681662559,49659354425,47349769122,30202621447,139628402589,68521277393
CS300024,운동/경기용품,20234,247658052598,1539934,145434961213,78612007527,1152400966,22209609041,48462343614,62076879696,49026254207,41121328306,164164071606,83493980992
