소분류코드,소분류명,시도코드,시도명,시군구코드,시군구명,사업체수
G20501,곡물/곡분 소매업,11,서울특별시,11290,성북구,14
G20501,곡물/곡분 소매업,11,서울특별시,11305,강북구,10
G20501,곡물/곡분 소매업,11,서울특별시,11320,도봉구,10
G20501,곡물/곡분 소매업,11,서울특별시,11350,노원구,15
G20501,곡물/곡분 소매업,11,서울특별시,11380,은평구,12
G20501,곡물/곡분 소매업,11,서울특별시,11410,서대문구,11
G20501,곡물/곡분 소매업,11,서울특별시,11440,마포구,7
G20501,곡물/곡분 소매업,11,서울특별시,11470,양천구,10
G20501,곡물/곡분 소매업,11,서울특별시,11500,강서구,11
G20501,곡물/곡분 소매업,11,서울특별시,11530,구로구,7
G20501,곡물/곡분 소매업,11,서울특별시,11545,금천구,11
G20501,곡물/곡분 소매업,11,서울특별시,11560,영등포구,23
G20501,곡물/곡분 소매업,11,서울특별시,11590,동작구,2
G20501,곡물/곡분 소매업,11,서울특별시,11620,관악구,22
G20501,곡물/곡분 소매업,11,서울특별시,11650,서초구,7
G20501,곡물/곡분 소매업,11,서울특별시,11680,강남구,13
G20501,곡물/곡분 소매업,11,서울특별시,11710,송파구,12
G20501,곡물/곡분 소매업,11,서울특별시,11740,강동구,13
G20502,가축 사료 소매업,11,서울특별시,11110,종로구,2
G20502,가축 사료 소매업,11,서울특별시,11170,용산구,2
G20502,가축 사료 소매업,11,서울특별시,11215,광진구,3
G20502,가축 사료 소매업,11,서울특별시,11230,동대문구,6
G20502,가축 사료 소매업,11,서울특별시,11260,중랑구,2
G20502,가축 사료 소매업,11,서울특별시,11290,성북구,1
G20502,가축 사료 소매업,11,서울특별시,11305,강북구,3
G20502,가축 사료 소매업,11,서울특별시,11350,노원구,3
G20502,가축 사료 소매업,11,서울특별시,11410,서대문구,1
G20502,가축 사료 소매업,11,서울특별시,11440,마포구,5
G20502,가축 사료 소매업,11,서울특별시,11470,양천구,1
G20502,가축 사료 소매업,11,서울특별시,11500,강서구,4
G20502,가축 사료 소매업,11,서울특별시,11530,구로구,1
G20502,가축 사료 소매업,11,서울특별시,11545,금천구,1
G20502,가축 사료 소매업,11,서울특별시,11560,영등포구,1
G20502,가축 사료 소매업,11,서울특별시,11590,동작구,2
G20502,가축 사료 소매업,11,서울특별시,11620,관악구,3
G20502,가축 사료 소매업,11,서울특별시,11650,서초구,1
G20502,가축 사료 소매업,11,서울특별시,11680,강남구,5
G20502,가축 사료 소매업,11,서울특별시,11710,송파구,10
G20502,가축 사료 소매업,11,서울특별시,11740,강동구,4
G20503,정육점,11,서울특별시,11110,종로구,51
G20503,정육점,11,서울특별시,11140,중구,59
G20503,정육점,11,서울특별시,11170,용산구,64
G20503,정육점,11,서울특별시,11200,성동구,135
G20503,정육점,11,서울특별시,11215,광진구,102
G20503,정육점,11,서울특별시,11230,동대문구,139
G20503,정육점,11,서울특별시,11260,중랑구,151
G20503,정육점,11,서울특별시,11290,성북구,114
G20503,정육점,11,서울특별시,11305,강북구,103
G20503,정육점,11,서울특별시,11320,도봉구,106
G20503,정육점,11,서울특별시,11350,노원구,96
G20503,정육점,11,서울특별시,11380,은평구,117
G20503,정육점,11,서울특별시,11410,서대문구,72
G20503,정육점,11,서울특별시,11440,마포구,87
G20503,정육점,11,서울특별시,11470,양천구,136
G20503,정육점,11,서울특별시,11500,강서구,164
G20503,정육점,11,서울특별시,11530,구로구,112
G20503,정육점,11,서울특별시,11545,금천구,94
G20503,정육점,11,서울특별시,11560,영등포구,115
G20503,정육점,11,서울특별시,11590,동작구,93
G20503,정육점,11,서울특별시,11620,관악구,144
G20503,정육점,11,서울특별시,11650,서초구,84
G20503,정육점,11,서울특별시,11680,강남구,105
G20503,정육점,11,서울특별시,11710,송파구,169
G20503,정육점,11,서울특별시,11740,강동구,148
G20504,건어물/젓갈 소매업,11,서울특별시,11110,종로구,10
G20504,건어물/젓갈 소매업,11,서울특별시,11140,중구,68
G20504,건어물/젓갈 소매업,11,서울특별시,11170,용산구,13
G20504,건어물/젓갈 소매업,11,서울특별시,11200,성동구,8
G20504,건어물/젓갈 소매업,11,서울특별시,11215,광진구,18
G20504,건어물/젓갈 소매업,11,서울특별시,11230,동대문구,67
G20504,건어물/젓갈 소매업,11,서울특별시,11260,중랑구,30
G20504,건어물/젓갈 소매업,11,서울특별시,11290,성북구,15
G20504,건어물/젓갈 소매업,11,서울특별시,11305,강북구,27
G20504,건어물/젓갈 소매업,11,서울특별시,11320,도봉구,17
G20504,건어물/젓갈 소매업,11,서울특별시,11350,노원구,8
G20504,건어물/젓갈 소매업,11,서울특별시,11380,은평구,30
G20504,건어물/젓갈 소매업,11,서울특별시,11410,서대문구,23
G20504,건어물/젓갈 소매업,11,서울특별시,11440,마포구,20
G20504,건어물/젓갈 소매업,11,서울특별시,11470,양천구,26
G20504,건어물/젓갈 소매업,11,서울특별시,11500,강서구,35
G20504,건어물/젓갈 소매업,11,서울특별시,11530,구로구,18
G20504,건어물/젓갈 소매업,11,서울특별시,11545,금천구,20
G20504,건어물/젓갈 소매업,11,서울특별시,11560,영등포구,29
G20504,건어물/젓갈 소매업,11,서울특별시,11590,동작구,31
G20504,건어물/젓갈 소매업,11,서울특별시,11620,관악구,26
G20504,건어물/젓갈 소매업,11,서울특별시,11650,서초구,9
G20504,건어물/젓갈 소매업,11,서울특별시,11680,강남구,12
G20504,건어물/젓갈 소매업,11,서울특별시,11710,송파구,43
G20504,건어물/젓갈 소매업,11,서울특별시,11740,강동구,24
G20505,수산물 소매업,11,서울특별시,11110,종로구,14
G20505,수산물 소매업,11,서울특별시,11140,중구,29
G20505,수산물 소매업,11,서울특별시,11170,용산구,17
G20505,수산물 소매업,11,서울특별시,11200,성동구,13
G20505,수산물 소매업,11,서울특별시,11215,광진구,29
G20505,수산물 소매업,11,서울특별시,11230,동대문구,83
G20505,수산물 소매업,11,서울특별시,11260,중랑구,40
G20505,수산물 소매업,11,서울특별시,11290,성북구,20
G20505,수산물 소매업,11,서울특별시,11305,강북구,25
G20505,수산물 소매업,11,서울특별시,11320,도봉구,20
G20505,수산물 소매업,11,서울특별시,11350,노원구,23
G20505,수산물 소매업,11,서울특별시,11380,은평구,35
G20505,수산물 소매업,11,서울특별시,11410,서대문구,21
G20505,수산물 소매업,11,서울특별시,11440,마포구,33
G20505,수산물 소매업,11,서울특별시,11470,양천구,24
G20505,수산물 소매업,11,서울특별시,11500,강서구,76
G20505,수산물 소매업,11,서울특별시,11530,구로구,29
G20505,수산물 소매업,11,서울특별시,11545,금천구,20
G20505,수산물 소매업,11,서울특별시,11560,영등포구,24
G20505,수산물 소매업,11,서울특별시,11590,동작구,487
G20505,수산물 소매업,11,서울특별시,11620,관악구,47
G20505,수산물 소매업,11,서울특별시,11650,서초구,14
G20505,수산물 소매업,11,서울특별시,11680,강남구,27
G20505,수산물 소매업,11,서울특별시,11710,송파구,64
G20505,수산물 소매업,11,서울특별시,11740,강동구,41
G20506,채소/과일 소매업,11,서울특별시,11110,종로구,57
G20506,채소/과일 소매업,11,서울특별시,11140,중구,61
G20506,채소/과일 소매업,11,서울특별시,11170,용산구,36
G20506,채소/과일 소매업,11,서울특별시,11200,성동구,44
G20506,채소/과일 소매업,11,서울특별시,11215,광진구,95
G20506,채소/과일 소매업,11,서울특별시,11230,동대문구,300
G20506,채소/과일 소매업,11,서울특별시,11260,중랑구,117
G20506,채소/과일 소매업,11,서울특별시,11290,성북구,84
G20506,채소/과일 소매업,11,서울특별시,11305,강북구,108
G20506,채소/과일 소매업,11,서울특별시,11320,도봉구,88
G20506,채소/과일 소매업,11,서울특별시,11350,노원구,77
G20506,채소/과일 소매업,11,서울특별시,11380,은평구,119
G20506,채소/과일 소매업,11,서울특별시,11410,서대문구,88
G20506,채소/과일 소매업,11,서울특별시,11440,마포구,87
G20506,채소/과일 소매업,11,서울특별시,11470,양천구,103
G20506,채소/과일 소매업,11,서울특별시,11500,강서구,147
G20506,채소/과일 소매업,11,서울특별시,11530,구로구,114
G20506,채소/과일 소매업,11,서울특별시,11545,금천구,78
G20506,채소/과일 소매업,11,서울특별시,11560,영등포구,115
G20506,채소/과일 소매업,11,서울특별시,11590,동작구,83
G20506,채소/과일 소매업,11,서울특별시,11620,관악구,134
G20506,채소/과일 소매업,11,서울특별시,11650,서초구,60
G20506,채소/과일 소매업,11,서울특별시,11680,강남구,105
G20506,채소/과일 소매업,11,서울특별시,11710,송파구,153
G20506,채소/과일 소매업,11,서울특별시,11740,강동구,135
G20507,아이스크림 할인점,11,서울특별시,11110,종로구,1
G20507,아이스크림 할인점,11,서울특별시,11170,용산구,1
G20507,아이스크림 할인점,11,서울특별시,11215,광진구,1
G20507,아이스크림 할인점,11,서울특별시,11230,동대문구,4
G20507,아이스크림 할인점,11,서울특별시,11290,성북구,2
G20507,아이스크림 할인점,11,서울특별시,11305,강북구,2
G20507,아이스크림 할인점,11,서울특별시,11320,도봉구,1
G20507,아이스크림 할인점,11,서울특별시,11350,노원구,3
G20507,아이스크림 할인점,11,서울특별시,11380,은평구,1
G20507,아이스크림 할인점,11,서울특별시,11410,서대문구,3
G20507,아이스크림 할인점,11,서울특별시,11440,마포구,1
G20507,아이스크림 할인점,11,서울특별시,11470,양천구,3
G20507,아이스크림 할인점,11,서울특별시,11500,강서구,1
